index,NB_COM,IM_TR,CP
281,GOOGLE *SERVICES           C0,2000.0,0000000000
282,CITY MARKET PILAR          A3,135583.0,0003100
283,VS TELCEL 0180012          C6,50377.0,06500
284,AMAZON MX                  C6,72764.0,05348
285,00010520000,200000.0,
286,OXXO PROVIDENCIA           A8,4350.0,003100
287,GAS CONXO 1                A3,82855.0,003800
288,HIPER LUMEN DEL V          A3,31450.0,003100
289,00503230000,200000.0,
290,00503250000,200000.0,
291,TOKS YACATAS               A8,77250.0,003310
292,SUPERAMA FELIX CU          A8,18620.0,003200
293,NETFLIX                    C2,19900.0,03800
294,CAFETERIA NEW MOO          A3,34540.0,004200
295,00041340000,450000.0,
296,CAFE KRG                   A3,16600.0,006600
297,LIVERPOOL INSURGE          A8,36644.0,003100
298,HACIENDA DE CORTE          A5,53600.0,04020
299,C,2000.0,
300,LIVERPOOL INSURGE          A8,17900.0,003100
301,GASOL BP FELIX CU          A8,54683.0,22206
302,00503240000,200000.0,
303,VS TELCEL 0180012          C6,50019.0,06500
304,CK LIEJA                   A8,5300.0,006600
305,NETFLIX COM 1              C6,19900.0,003800
306,CAFE EL OCHO               A8,66300.0,0006100
307,GOOGLE *SERVICES           C0,2000.0,0000000000
308,CITY MARKET PILAR          A3,107188.0,0003100
309,VS TELCEL 0180012          C6,119238.0,06500
310,SAMS UNIVERSIDAD           A8,41380.0,003310
311,00010520000,200000.0,
312,OXXO PROVIDENCIA           A8,6950.0,003100
313,GAS CONXO 1                A3,78510.0,003800
314,00503250000,200000.0,
315,TOKS YACATAS               A8,25900.0,003310
316,SUPERAMA FELIX CU          A8,115967.0,003200
317,NETFLIX                    C2,19900.0,03800
318,00041340000,800000.0,
319,CAFE KRG                   A3,18800.0,006600
320,LIVERPOOL INSURGE          A8,66360.0,003100
321,C,2000.0,
322,LIVERPOOL INSURGE          A8,30800.0,003100
323,GASOL BP FELIX CU          A8,81851.0,22206
324,CK LIEJA                   A8,9700.0,006600
325,NETFLIX COM 1              C6,19900.0,003800
326,REST CASA ABUELOS          A5,50000.0,0000003910
327,GOOGLE *SERVICES           C0,2000.0,0000000000
328,VS TELCEL 0180012          C6,50258.0,06500
329,00010520000,200000.0,
330,OXXO PROVIDENCIA           A8,8250.0,003100
331,GAS CONXO 1                A3,93536.0,003800
332,00503250000,200000.0,
333,TOKS YACATAS               A8,46100.0,003310
334,SUPERAMA FELIX CU          A8,255020.0,003200
335,NETFLIX                    C2,19900.0,03800
336,00041340000,600000.0,
337,CAFE KRG                   A3,8800.0,006600
338,LIVERPOOL INSURGE          A8,39920.0,003100
339,C,2000.0,
340,GASOL BP FELIX CU          A8,88328.0,22206
341,CK LIEJA                   A8,5300.0,006600
342,REST CASA ABUELOS          A5,33100.0,03910
343,GOOGLE *SERVICES           C0,2000.0,0000000000
344,VS TELCEL 0180012          C6,50258.0,06500
345,00010520000,200000.0,
346,OXXO PROVIDENCIA           A8,8590.0,003100
347,GAS CONXO 1                A3,84100.0,003800
348,00503250000,300000.0,
349,TOKS YACATAS               A8,52300.0,003310
350,00041340000,250000.0,
351,CAFE KRG                   A3,8800.0,006600
